ID;CD_CEP;NM_LOGRADOURO;ID_BAIRRO
4400;23440000;RUA FRANCISCO DE BRITO;6135
4401;23440100;RUA GABRIEL QUADROS;6135
4402;23440200;RUA JOSE OLIVEIRA MATIAS;6135
4403;23440300;RUA PAULO ORNELLAS CARVALHO DE BARROS;6135
4404;23440400;RUA LUIZ AUGUSTO DE OLIVEIRA;6135
4405;23440500;RUA EDUARDO VICENTE NASSER;6135
4406;23440600;RUA FELICIO TARABAY;6135
4407;23440700;RUA ANTONIO FLAQUER;6135
4408;23440800;RUA ALCINDO BUENO DE ASSIS;6135
4409;23440900;RUA REVERENDO GEORGE MICHEL ATLAS;6135
4410;23441000;RUA ALFREDO INACIO TRINDADE;6135
4411;23441100;RUA MANUEL PORTO ALEGRE;6135
4412;23441200;PRAÇA ANTONIO JOSE DE ARAUJO;6135
4413;23441300;RUA ARMANDO NARCISO PIERONI;6135
4414;23441400;RUA VINICIO BAIDANTTO;27404
4415;23441500;PRAÇA VINICIO BRAIDATTO;6135
4416;23450000;RUA MARTIRES ARMENIOS;6135
4417;23450100;RUA LEOPOLDO BRETANO;6135
4418;23450200;RUA OTAVIO LOPES CASTELO BRANCO;6135
4419;23450300;RUA JOAQUIM JOSE DA CRUZ SECCO;6135
4420;23450400;RUA BENTO ARAUJO;6135
4421;23450500;RUA EDUARDO FERREIRA;6135
4422;23450600;RUA MONTESANO;6135
4423;23450700;RUA VICENTE PEREIRA;6135
4424;23450800;RUA BERNARDO JOSE;6135
4425;23450900;RUA PARQUE DA FONTE;6135
4426;23451000;PRAÇA ESTEVAO FALCAO;6135
4427;23451100;RUA GERALDO FERREIRA;6135
4428;23451200;RUA FRANCISCO CONCEICAO;6135
4429;23451300;RUA PROF. PEDRO PINTO E SILVA;6135
4430;23460000;AVENIDA PROF. VIRGILIA RODRIGUES ALVES DE CARV. PINTO;27404
4431;23460100;RUA FRANCISCO DA LIRA;27404
4432;23460200;RUA BRASILIO MOURA;27404
4433;23460300;RUA CARAPAJO;27404
4434;23460400;RUA AMADEU NARCISO PIERONI;27404
4435;23460500;RUA ISMAEL CARVALHO RIBEIRO;27404
4436;23460600;RUA WALTER WEISZFLOG;27404
4437;23460700;RUA ANTONIO LIMA;27404
4438;23460800;RUA PROF. ARTUR CAMPOS GONCALVES;27404
4439;23460900;RUA DOMINGOS COLOM;27404
4440;23461000;RUA DR SATURNINO VILALVA;27404
4441;23461100;PRAÇA LIONS CLUBE-TUCURUVI;27404
4442;23461200;RUA PEDRO SALUSSE;27404
4443;23461300;RUA JOSE FLORENTINO DE SOUZA;27404
4444;23461400;RUA LAVINIA PACHECO E SILVA;27404
4445;23461500;PRAÇA GEORGES ISKANDAR GHARIB;28457
4446;23470000;RUA VEREADOR ANGELO BORTOLO;27404
4447;23470100;RUA HERBERT HOOVER;27404
4448;23470200;RUA FRANCISCO COUTO;27404
4449;23470300;RUA MATILDE MACEDO SOARES;27404
4450;23470400;PRAÇA CAPRI;27404
4451;23470500;AVENIDA PANORAMA;27404
4452;23470600;RUA SENA;27404
4453;23470700;RUA LUIS DA SILVA ARAUJO;27404
4454;23470800;RUA BASILEIA;27404
4455;23470900;ALAMEDA MESSINA;27404
4456;23471000;PRAÇA ARNALDO PESCUMA;27404
4457;23471100;RUA MARTINHO DE CAMARGO;27404
4458;23471200;ALAMEDA ARAXA;27404
4459;23471300;RUA ARLINDO PASCOALINI;27404
4460;23471400;RUA FRANCISCO PECANHA;27404
4461;23471500;PRAÇA MILAO;27404
4462;23471600;ALAMEDA MONTE CARLO;27404
4463;23471700;RUA ILHAS AFORTUNADAS;27404
4464;23480000;AVENIDA LUCERNA;27404
4465;23480100;AVENIDA LOCARNO;27404
4466;23480200;RUA GENOVA;27404
4467;23480300;RUA FRANCISCO DE TAVES;27404
4468;23480400;ALAMEDA TURIM;27404
4469;23480500;ALAMEDA VERONA;27404
4470;23480600;RUA COMANDANTE QUIRINO TEIXEIRA;27404
4471;23480700;RUA JERONIMO TEIXEIRA JUNIOR;27404
4472;23480800;RUA JOSE MARTINS BORGES;27404
4473;23480900;RUA LAURO LUCHESI;27404
4474;23481000;RUA JOSE SAVOIA;27404
4475;23481100;RUA CONEGO ARNALDO CAIAFFA;27404
4476;23481200;RUA GOMES TEIXEIRA;27404
4477;23481300;TRAVESSA NOVA CANTAREIRA;27404
4478;23481400;RUA DOM LEOPOLDO PRIMEIRO;27404
4479;23481500;RUA ESMERALDA;27404
4480;23481600;TRAVESSA GUILHERME JOSE MARQUES FILHO;27404
4481;23481700;ALAMEDA NICE;27404
4482;23481800;RUA SIMOES DE SOUZA;27404
4483;23481900;RUA ANTONIO PUGLIESI;27404
4484;23482000;PRAÇA TOME DE FARIA;27404
4485;23490000;RUA BERNARDINO D AURIA;27404
4486;23490100;RUA ARUMIQUEL;27865
4487;23490200;RUA JOAO CARLOS FORTIM;27404
4488;23490300;RUA CAMACAOCA;27404
4489;23490400;RUA BASILIO GONCALVES DE OLIVEIRA;27404
4490;23490500;RUA JOSE BERGAMINI;27404
4491;23490600;RUA LUGO;27404
4492;23490700;TRAVESSA LUGO;27404
4493;23490800;RUA TOLEDO;27404
4494;23490900;RUA PAULO LAURO;27404
4495;23490950;TRAVESSA ILHA DO TESOURO;27865
4496;23491000;RUA CAMAOI;27404
4497;23491100;TRAVESSA ESPUMAS FLUTUANTES;27865
4498;23491200;RUA BENTO FRANCO;27404
4499;23491300;VIA DE PEDESTRE GRANDES ESPERANCAS;27865
4500;23500000;RUA MARIA AMALIA LOPES DE AZEVEDO;28166
4501;23500010;RUA MARIA AMALIA LOPES DE AZEVEDO;28166
4502;23500020;RUA MARIA AMALIA LOPES DE AZEVEDO;28166
4503;23500100;RUA FREI LEOPOLDO DALMACIA;28166
4504;23500200;RUA CARAPAPORIS;28166
4505;23500300;RUA FERRUCIO BENEDUZZI;28147
4506;23500350;PRAÇA FRANCISCO MACHADO;28147
4507;23500400;RUA JAPARATINGA;26427
4508;23500500;RUA JOSE ALVES;28166
4509;23500600;RUA CARMESIA;26427
4510;23500700;PRAÇA ABEL CORREA ALMEIDA PIRES;28147
4511;23500800;RUA SANTA EUFENCIA DOS FIDALGOS;28147
4512;23510000;RUA SONIA MARGY;27967
4513;23510100;RUA EMBAIXADOR ROBERTO GONCALVES;27967
4514;23510200;RUA BARAO DE SAO FELIX;27967
4515;23510300;RUA CORONEL ESDRAS DE OLIVEIRA;27967
4516;23510400;RUA MARIA DALCIA DORES;27967
4517;23510500;RUA NOSSA SENHORA DA CONCORDIA;27967
4518;23510600;RUA PROF. ALBUQUERQUE PRADO;27967
4519;23510700;RUA DR MARIO SANTA LUCIA;27967
4520;23510800;RUA LUIS DA MOTA;27967
4521;23510900;PRAÇA EDMUNDO ROSSI;27967
4522;23511000;RUA GENERAL TAVARES DA SILVA;27967
