id;CD_CEP;ID_BAIRRO;NM_LOGRADOURO
9540;3005010;8396;FERNANDES SILVA
9541;3005020;8396;ASSUNCAO
9542;3005030;8396;COMENDADOR CHAKER DIBS
9543;3005040;8396;POLIGNANO A. MARE
9544;3006010;8396;PROF. EURIPEDES SIMOES DE PAULA
9545;3006015;8396;DOMINGUES DE ALMEIDA JUNIOR
9546;3006020;8396;BENJAMIM DE OLIVEIRA
9547;3006030;8396;DA ALFANDEGA
9548;3007000;8396;MERCURIO
9549;3007010;11120;DO ESTADO
9550;3007020;8396;CARLOS GARCIA
9551;3007030;8396;SAO VITO
9552;3007040;8396;SANTA ROSA
9553;3007050;8396;DO PARI
9554;3007060;8396;MENDES CALDEIRA
9555;3007070;8396;LUIZ DE CAMOES
9556;3008000;8396;MONSENHOR ANDRADE
9557;3008010;8396;SAMPAIO MOREIRA
9558;3008015;8396;CARLOTA
9559;3008020;8396;CORREIA DE ANDRADE
9560;3008030;8396;CORONEL FRANCISCO AMARO
9561;3008040;8396;DO BUCOLISMO
9562;3008060;8396;VADICO
9563;3009000;8396;JOAO TEODORO
9564;3009010;8396;RODRIGUES DOS SANTOS
9565;3009015;8396;MARIA MATARAZZO
9566;3009020;8396;HENRIQUE DIAS
9567;3009030;8396;ELIZA WHITAKER
9568;3009100;8396;MONSENHOR ANDRADE
9569;3009110;8396;PASSOS
9570;3010000;8396;BARAO DE LADARIO
9571;3010010;8396;DA JUTA
9572;3010020;8396;CORONEL TRANCOSO
9573;3010030;8396;JULIO RIBEIRO
9574;3010040;8396;PRAIA DOS LAVRADORES
9575;3010050;8396;ROQUE VICTOR VASTO
9576;3010060;8396;SILVIO
9577;3010070;8396;SILVIO PENTEADO
9578;3010080;8396;VENANCIO
9579;3011000;8396;MARIA MARCOLINA
9580;3011001;8396;MARIA MARCOLINA
9581;3011006;27949;ARMANDO VIOLANTE
9582;3011010;8396;MILLER
9583;3011011;8396;MILLER
9584;3011020;8396;ABREU JUNIOR
9585;3012000;8396;CONSELHEIRO BELISARIO
9586;3012010;8396;DA CONCORDIA
9587;3012020;8396;MINISTRO FIRMINO WHITAKER
9588;3012030;8396;SAIAO LOBATO
9589;3012040;8396;DR RICARDO GONCALVES
9590;3012050;8396;VISCONDE DE ABAETE
9591;3012060;8396;RUBINO DE OLIVEIRA
9592;3013000;8396;CASEMIRO DE ABREU
9593;3013001;8396;CASEMIRO DE ABREU
9594;3013005;8396;JOSE BOSQUE
9595;3013010;8396;MENDES JUNIOR
9596;3013011;8396;MENDES JUNIOR
9597;3013020;8396;MATIAS DE OLIVEIRA
9598;3013030;8396;PARAIBA
9599;3013040;8396;SAMPSON
9600;3013050;8396;MANOEL SOBRAL
9601;3014000;8396;CELSO GARCIA
9602;3014005;8396;RIBEIRO VIANA
9603;3014010;8396;SENADOR MORAIS BARROS
9604;3014020;8396;MAJOR GUILHERME RUDGE
9605;3014030;8396;GILBERTO DOS SANTOS
9606;3014040;7023;ROBERTA
9607;3015000;8396;CELSO GARCIA
9608;3015010;8396;INTENDENCIA
9609;3015015;7023;SANTA ADELIA
9610;3015020;8396;CARUAPANA
9611;3015030;8396;DO CURIMA
9612;3015050;8396;NELSON CRUZ
9613;3015060;7023;VITORIA
9614;3016000;8396;ORIENTE
9615;3016001;8396;ORIENTE
9616;3016010;8396;MARIA JOAQUINA
9617;3016020;8396;JOLI
9618;3016030;8396;DR EUCLIDES DA CUNHA
9619;3017000;8396;BRESSER
9620;3017003;8396;JUDITH
9621;3017005;8396;SIMEONE
9622;3017010;8396;DR CARLOS BOTELHO
9623;3017020;8396;DR MANUEL VITORINO
9624;3018000;8396;JOAO BOEMER
9625;3018010;8396;CORONEL EMIDIO PIEDADE
9626;3018020;8396;GODOI PRETO
9627;3018030;8396;CAMILO JOAO CHRISTOFARO
9628;3019000;8396;JOAQUIM CARLOS
9629;3019005;8396;JOAQUIM CARLOS
9630;3019007;8396;CALIFORNIA
9631;3019010;8396;JULIO CESAR DA SILVA
9632;3019020;8396;JOSE KAUER
9633;3019030;8396;BELISARIO DE SOUZA
9634;3019040;8396;JOAO SINGILO
9635;3019050;8396;GONCALVES DIAS
9636;3019060;27949;ADRIANO RUIZ
9637;3020000;13109;MARCOS ARRUDA
9638;3020003;13109;SAO VICENTE
9639;3020005;13109;SILVESTRE POLANO
9640;3020007;13109;ROMA
9641;3020010;13109;IVINHEMA
9642;3020020;13109;DONA JOAQUINA FRANCISCA DE PAIVA
9643;3020030;13109;DR CARLOS GUIMARAES
9644;3020040;13109;DR RODRIGO CESAR MENEZES
9645;3020050;13109;WALDEMAR DORIA
9646;3020055;13109;MILTON ALDRED
9647;3021000;8396;CATUMBI
9648;3021005;8396;TENENTE CANTINHO
9649;3021007;8396;CAVALHEIRO
9650;3021010;8396;GENERAL HUMBERTO SOUZA MELLO
9651;3021020;8396;ARISTON DE AZEVEDO
9652;3021030;8396;GUILHERME COTCHING
9653;3021035;8396;DA VILA MARIA
9654;3021040;8396;JEQUITINHONHA
9655;3021050;8396;JUVENAL GOMES COIMBRA
9656;3021060;8396;MANOEL RAMOS PAIVA
9657;3021070;8396;PEDRO LOPES DE SOUZA
9658;3021080;8396;MARIA ZELIA
9659;3021085;8396;DOS PRAZERES
9660;3021090;8396;EVARISTO DA VEIGA
9661;3021095;8396;AMBROSINA
9662;3021100;28446;MARIO COSTA
9663;3021110;28446;SEBASTIAO PEREIRA DE SOUSA
9664;3021120;28446;SILVINO PASSOS
9665;3021130;28446;LUIS FRANCISCO DOS SANTOS
9666;3021140;28446;VITOR SIQUEIRA MINGRONO
9667;3021200;28446;MORES MIGUEL
9668;3021210;28446;ADILSON FARIAS CLARO
9669;3021220;28446;IRMA PAULA LOEBENSTEIN
9670;3021230;28446;OTAVIO PARIS
9671;3021240;28446;JOSE ALVES DE OLIVEIRA
9672;3022000;3205;PAULO ANDRIGHETTI
9673;3022010;3205;ROMEU BERTELI
9674;3022020;3205;MARIO IBARRA DE ALMEIDA
9675;3022030;3205;FERREIRA DE OLIVEIRA
9676;3022040;3205;MANOEL DE ABREU
9677;3022050;3205;PEDRO VAZ DE CAMPOS
9678;3022060;3205;AGOSTINHO NUNES DE ABREU
9679;3022070;3205;BERNARDO SAIAO
9680;3022075;13109;AFONSO GUARDIA DE CASTRO
9681;3022080;3205;BATISTA PARENTE
9682;3023000;8396;RIO BONITO
9683;3023010;8396;FERNAO DE MAGALHAES
9684;3023020;8396;BHERING
9685;3024000;13109;CACHOEIRA
9686;3024003;13109;ANIELO CARBONE
9687;3024005;13109;ISAURA
9688;3024010;13109;CAPITAO-MOR PASSOS
9689;3025000;8396;ALMIRANTE BARROSO
9690;3025001;8396;ALMIRANTE BARROSO
9691;3025005;8396;SALES
9692;3025010;8396;PROF. PINTO PEREIRA
9693;3025020;8396;MAJOR MARCELINO
9694;3025030;8396;SANTA CLARA
9695;3025040;8396;SOUZA CALDAS
9696;3025050;8396;ITAPIRACABA
9697;3026000;27949;SILVA TELES
9698;3026001;27949;SILVA TELES
9699;3026005;27949;REPUBLICA DA COREIA
9700;3026010;27949;GUSTAVO BRESSER
9701;3026020;27949;JULIA BRESSER
9702;3026030;27949;SANTA RITA
9703;3026035;27949;LUISA
9704;3027000;8396;XAVANTES
9705;3027005;8396;AMELIA SALES
9706;3027006;27949;SAO LUIS
9707;3027010;8396;MENDES GONCALVES
9708;3027020;8396;DR VIRGILIO DO NASCIMENTO
9709;3027026;27949;MARIO CHAIBUB
9710;3028000;27949;CARLOS DE CAMPOS
9711;3028001;27949;CARLOS DE CAMPOS
9712;3028003;27949;ILLO OTANI
9713;3028005;27949;ANTONIO MOREIRA
9714;3028010;27949;EDUARDO RUDGE
9715;3028020;27949;PADRE TADDEY
